Designator,Mid X,Mid Y,Layer,Rotation
C1,184.409mm,-70.739mm,T,-90.000
C2,131.572mm,-83.1342mm,T,180.000
C4,148.336mm,-91.948mm,T,90.000
C5,144.8308mm,-109.1184mm,T,-90.000
C6,148.3564mm,-89.5945mm,T,-90.000
C7,147.5307mm,-97.4906mm,T,-90.000
C8,114.1984mm,-90.26732mm,T,0.000
C9,114.1984mm,-96.91956mm,T,0.000
C10,147.5307mm,-95.2046mm,T,90.000
C11,115.5954mm,-77.4407mm,T,-90.000
C12,118.11mm,-77.4407mm,T,-90.000
C13,120.6246mm,-77.4407mm,T,-90.000
C14,123.1392mm,-77.4407mm,T,-90.000
C15,125.6538mm,-77.4407mm,T,-90.000
C16,120.6296mm,-81.915mm,T,-90.000
C17,125.6588mm,-81.915mm,T,-90.000
C18,111.6291mm,-79.375mm,T,180.000
C19,106.558mm,-69.9731mm,T,-90.000
C20,109.5552mm,-69.9985mm,T,-90.000
C22,111.6291mm,-76.4286mm,T,180.000
D1,154.0256mm,-63.4746mm,T,-90.000
D2,151.4348mm,-63.4746mm,T,-90.000
D3,141.6608mm,-102.362mm,T,-90.000
D4,148.844mm,-63.4746mm,T,-90.000
D5,129.8702mm,-75.2602mm,T,90.000
FB1,115.6004mm,-81.915mm,T,90.000
J1,175.3616mm,-64.1445mm,T,-90.000
J11,103.6878mm,-91.2544mm,T,90.000
J14,100.2588mm,-68.9356mm,T,-90.000
J6,195.077mm,-114.3mm,T,-90.000
J17,131.3434mm,-64.77mm,T,90.000
Q1,138.6128mm,-68.453mm,T,0.000
R1,184.3168mm,-85.5218mm,T,0.000
R2,184.409mm,-75.2856mm,T,90.000
R3,154.0637mm,-67.437mm,T,-90.000
R4,151.4094mm,-67.437mm,T,-90.000
R5,144.8308mm,-104.2416mm,T,-90.000
R6,145.9942mm,-92.8878mm,T,180.000
R7,114.1984mm,-94.70548mm,T,180.000
R8,148.7551mm,-67.437mm,T,-90.000
R9,114.1984mm,-92.4814mm,T,180.000
R10,114.1984mm,-88.05324mm,T,180.000
R11,114.1984mm,-85.82916mm,T,180.000
R12,142.9816mm,-71.7804mm,T,0.000
R13,133.1866mm,-71.5264mm,T,180.000
R14,128.8846mm,-71.5264mm,T,180.000
SW1,192.5334mm,-85.4456mm,T,90
SW2,189.1854mm,-69.7844mm,T,0.000
U1,135.641mm,-91.2544mm,T,180.000
U2,137.9016mm,-72.4662mm,T,180.000
U3,181.4626mm,-107.2896mm,T,0.000
U4,115.824mm,-71.2724mm,T,0.000
Y1,151.2824mm,-90.805mm,T,90.000
Y2,149.8421mm,-96.4492mm,T,-90.000
