"Source:","F:\Embedded\MoleNet\gitHub\WUSN\PCB-Layouts\MoleNet_v5.01\MoleNet_v5.01.kicad_sch"
"Date:","17-05-2022 13:29:54"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","C1","10pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C2","20pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C3","20pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C4","12pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C5","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C6","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C7","12pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C8","4.7uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C9","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C11","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C12","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C13","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C14","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C15","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","",""
"","","C16","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C17","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C18","4.7uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C19","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","D1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","",""
"","","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","",""
"","","D3","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","",""
