Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10pF,C_0805_2012Metric,184.409,-70.739,-90,top
C2,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,131.572,-83.1342,180,top
C3,1F,CP_Radial_D22.0mm_P10.00mm_SnapIn,149.0872,-104.8376,0,top
C4,20pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.336,-91.948,90,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.8308,-109.1184,-90,top
C6,20pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,148.3564,-89.5945,-90,top
C7,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.5307,-97.4906,-90,top
C8,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.1984,-90.26732,0,top
C9,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.1984,-96.91956,0,top
C10,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.5307,-95.2046,90,top
C11,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.5954,-77.4407,-90,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.11,-77.4407,-90,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.6246,-77.4407,-90,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.1392,-77.4407,-90,top
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.6538,-77.4407,-90,top
C16,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.6296,-81.915,-90,top
C17,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.6588,-81.915,-90,top
C18,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.6291,-79.375,180,top
C19,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.558,-69.9731,-90,top
C20,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.5552,-69.9985,-90,top
C22,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.6291,-76.4286,180,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.0256,-63.4746,-90,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151.4348,-63.4746,-90,top
D3,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,141.6608,-102.362,-90,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,148.844,-63.4746,-90,top
D5,BZX84C7V5LT1G,SOT-23,129.8702,-75.2602,90,top
