Designator,Footprint,Quantity,Value,Chosen Part Number
"C1, C14",0805,2,22uF,C45783
"C10, C5, C7, C9",0805,4,0.1uF,C49678
C13,0805,1,10uF,C15850
"C15, C2",0805,2,100nF,C49678
C16,0402,1,22uF,C415703
C17,0402,1,100nF,C1525
"C3, C6, C8",0805,3,1uF,C28323
C4,0805,1,2.2uF,C377773
"D2, D4, D5",LESD5D50CT1G,3,LESD5D5.0CT1G,C383211
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,C2474
"D6, D7, D8",0805,3,LED,C84256
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
J1,PinHeader_2x07_P2.54mm_Vertical,1,Micro SD connector,C71397
J10,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",1,SDI-12,C91152
J11,PinHeader_1x06_P2.54mm_Vertical,1,RA_01_DIO,C6332199
"J12, J16, J17",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,C492401
J13,microSD_HC_Molex_104031-0811,1,Micro SD Card,C428492
J14,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial,C914554
J15,SPARKFUN_PRT-14417,1,Qwiic,C2859067
J2,PinHeader_2x04_P2.54mm_Vertical,1,USART Interface,C18078213
J3,PinHeader_1x04_P2.54mm_Vertical,1,Power Out,C2691448
J4,PinHeader_2x03_P2.54mm_Vertical,1,LED_Switch,C7501274
J5,PinHeader_2x07_P2.54mm_Vertical,1,Lora Connector,C71397
J6,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2936185
J7,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Power In,C695629
J8,PinHeader_2x04_P2.54mm_Vertical,1,~,C18078213
J9,PinHeader_2x08_P2.54mm_Vertical,1,Unused Pin,C18078217
"R1, R2, R3, R6",0805,4,10k,C17414
"R10, R11, R12, R8",0805,4,220,C17557
"R13, R14, R15, R16, R18",0402,5,10K,C25744
"R17, R7",0402,2,4.7K,C25900
"R4, R5",0402,2,5.1k,C25905
R9,0805,1,1k,C17513
SW1,SW_PUSH_6mm_H4.3mm,1,Reset,C139758
SW2,SW_PUSH_6mm_H4.3mm,1,Boot,C139758
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913199
U2,SC-74A-5_1.55x2.9mm_P0.95mm,1,74AHC1G00,C842261
U3,SOT-223-3_TabPin2,1,TLV76133DCY,C7527500
U4,DIP-4_W7.62mm,1,PC817,C3025068
U5,Ai-Thinker-Ra-01-LoRa,1,Ai-Thinker-Ra-01H,C503593
U6,SOP65P400X130-8N,1,74LVC2G241,C2676069
U7,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
,,,,
,,,,
,,,,
Component Placement Updates,,,,
D3 Diode,180 degree,,,
J1 Connector,90 degree,,,
J2 Connector,90 degree,,,
J3 Connector,90 degree,,,
J3 Connector,90 degree,,,
J5 Connector,90 degree,,,
J6 Connector,90 degree,,,
J7 Connector,90 degree,,,
J8 Connector,90 degree,,,
J9 Connector,90 degree,,,
J11 Connector,90 degree,,,
J12 Connector,90 degree,,,
J14,Moved up a little,,,
J16 Connector,90 degree,,,
J17 Connector,90 degree,,,
U2,180 degree,,,
U3,90 degree,,,
U4,First pin top left,,,
U5,First pin bottom right,,,
U6,First pin bottom right,,,
