Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14",0805,2,22uF,
"C10, C5, C7, C9",0805,4,0.1uF,
C13,0805,1,10uF,
"C15, C2",0805,2,100nF,
C16,0402,1,22uF,
C17,0402,1,100nF,
"C3, C6, C8",0805,3,1uF,
C4,0805,1,2.2uF,
"D2, D4, D5",LESD5D50CT1G,3,LESD5D5.0CT1G,
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
"D6, D7, D8",0805,3,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
J1,PinHeader_2x07_P2.54mm_Vertical,1,Micro SD connector,
J10,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",1,SDI-12,
J11,PinHeader_1x06_P2.54mm_Vertical,1,RA_01_DIO,
"J12, J16, J17",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J13,microSD_HC_Molex_104031-0811,1,Micro SD Card,
J14,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial,
J15,SPARKFUN_PRT-14417,1,Qwiic,
J2,PinHeader_2x04_P2.54mm_Vertical,1,BME280 Connector,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Power Out,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Led Connector,
J5,PinHeader_2x07_P2.54mm_Vertical,1,Lora Connector,
J6,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,
J7,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,4.8V-16V Input,
J8,PinHeader_2x04_P2.54mm_Vertical,1,~,
J9,PinHeader_2x08_P2.54mm_Vertical,1,Unused Pin,
"R1, R2, R3, R6",0805,4,10k,
"R10, R11, R12, R8",0805,4,220,
"R13, R14, R15, R16",0402,4,10K,
"R17, R7",0402,2,4.7K,
"R4, R5",0402,2,5.1k,
R9,0805,1,1k,
SW1,SW_PUSH_6mm_H4.3mm,1,RESET,
SW2,SW_PUSH_6mm_H4.3mm,1,BOOT,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SC-74A-5_1.55x2.9mm_P0.95mm,1,74AHC1G00,
U3,SOT-223-3_TabPin2,1,TLV76133DCY,
U4,DIP-4_W7.62mm,1,PC817,
U5,Ai-Thinker-Ra-01-LoRa,1,Lora Module,
U6,SOP65P400X130-8N,1,74LVC2G241,
U7,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
