Designator,Mid X,Mid Y,Rotation,Layer
C1,134.8,-66.37,180.0,top
C10,175.5,-80.0,180.0,top
C13,124.6225,-96.32,0.0,top
C14,189.95,-111.8625,270.0,top
C15,185.5,-111.8625,270.0,top
C16,152.6825,-105.45,0.0,top
C17,152.6825,-107.4,0.0,top
C2,134.8,-69.65,180.0,top
C3,111.2125,-97.85,0.0,top
C4,119.29,-96.65,0.0,top
C5,111.5,-65.9625,90.0,top
C6,111.34,-70.655,90.0,top
C7,185.0,-86.9625,90.0,top
C8,184.86,-82.4475,270.0,top
C9,175.5,-75.5,180.0,top
D2,105.42,-79.81,180.0,top
D3,111.2,-84.2,180.0,top
D4,105.45,-74.08,0.0,top
D5,105.45,-76.98,0.0,top
D6,136.16,-110.365,270.0,top
D7,132.92,-110.365,270.0,top
D8,129.6,-110.325,270.0,top
J1,145.075,-97.775,270.0,top
J10,98.65,-109.25,270.0,top
J11,195.57,-107.14,180.0,top
J12,118.76,-90.835,0.0,top
J13,150.88,-115.705,180.0,top
J14,186.1,-123.1,180.0,top
J15,195.45,-71.9,90.0,top
J16,108.3,-102.615,180.0,top
J17,129.3,-65.95,270.0,top
J2,186.215,-71.64,180.0,top
J3,99.52,-98.85,90.0,top
J4,132.995,-120.29,90.0,top
J5,174.275,-96.245,270.0,top
J6,97.49,-76.8,270.0,top
J7,98.75,-90.25,270.0,top
J8,129.415,-77.72,180.0,top
J9,173.185,-62.125,90.0,top
R1,111.4,-61.6725,90.0,top
R10,136.0,-114.85,270.0,top
R11,132.99,-114.81,270.0,top
R12,129.59,-114.93,270.0,top
R13,142.1,-105.5,270.0,top
R14,143.5,-105.5,270.0,top
R15,145.8,-105.5,270.0,top
R16,147.7,-105.5,270.0,top
R17,179.5,-75.5,0.0,top
R18,179.5,-101.0,0.0,top
R2,184.86,-91.31,270.0,top
R3,109.79,-116.65,0.0,top
R4,105.17,-69.73,180.0,top
R5,105.17,-67.74,180.0,top
R6,109.8,-119.6,0.0,top
R7,187.0,-79.0,270.0,top
R8,125.1,-102.6,0.0,top
R9,125.1,-105.1,180.0,top
SW1,120.11,-63.94,0.0,top
SW2,192.41,-86.48,270.0,top
U1,147.285,-76.08,0.0,top
U2,119.2,-111.3,180.0,top
U3,111.3,-92.3,180.0,top
U4,115.35,-102.385,0.0,top
U5,169.9,-114.3,180.0,top
U6,109.7325,-111.2,180.0,top
U7,179.5,-79.5,90.0,top
