Designator,Mid X,Mid Y,Rotation,Layer
C1,134.8,-64.2,0.0,top
C13,124.6225,-96.32,0.0,top
C14,189.95,-111.8625,270.0,top
C15,185.5,-111.8625,270.0,top
C16,154.33,-106.505,0.0,top
C17,154.3225,-103.135,0.0,top
C2,134.8,-66.98,0.0,top
C3,108.44,-97.45,0.0,top
C4,119.29,-96.65,0.0,top
C6,111.34,-70.655,90.0,top
C7,111.34,-65.9425,90.0,top
C8,184.86,-82.4475,270.0,top
C9,184.81,-86.83,270.0,top
D1,108.4,-114.3,0.0,top
D2,105.42,-79.81,180.0,top
D3,116.28,-84.2,180.0,top
D4,105.45,-74.08,0.0,top
D5,105.45,-76.98,0.0,top
D6,136.16,-110.365,270.0,top
D7,132.92,-110.365,270.0,top
D8,129.64,-110.385,270.0,top
J1,150.23,-97.1,270.0,top
J10,97.8,-112.4,90.0,top
J11,195.57,-113.49,180.0,top
J12,118.76,-89.56,0.0,top
J13,150.88,-115.705,180.0,top
J14,187.94,-119.26,180.0,top
J2,189.31,-76.58,180.0,top
J3,96.0,-100.1,90.0,top
J4,130.47,-121.565,90.0,top
J5,181.9,-94.97,270.0,top
J6,97.49,-76.8,270.0,top
J7,97.8,-94.05,90.0,top
J8,130.64,-81.52,180.0,top
J9,164.31,-63.4,90.0,top
Q1,108.6,-109.3,0.0,top
R1,111.4,-61.6725,90.0,top
R10,136.0,-114.85,270.0,top
R11,132.99,-114.81,270.0,top
R12,129.59,-114.93,270.0,top
R13,142.1,-105.5,270.0,top
R14,143.5,-105.5,270.0,top
R15,145.8,-105.5,270.0,top
R16,147.7,-105.5,270.0,top
R2,184.86,-91.31,270.0,top
R3,117.09,-109.55,0.0,top
R4,105.17,-69.73,180.0,top
R5,105.17,-67.74,180.0,top
R6,117.1,-112.5,0.0,top
R7,117.1,-115.45,0.0,top
R8,125.1,-102.6,0.0,top
R9,125.1,-105.1,180.0,top
SW1,116.86,-61.69,0.0,top
SW2,194.66,-83.23,270.0,top
U1,147.285,-76.08,0.0,top
U2,122.4375,-110.25,0.0,top
U3,110.44,-91.79,0.0,top
U4,111.55,-101.11,0.0,top
U5,171.9,-114.28,180.0,top
