Time,VWC,UG2AG,UG2UG
'10/11/19 16:17:29',41.2,-76,-103
'10/11/19 16:32:28',41.2,-75,-103
'10/11/19 16:32:28',41.2,-75,-103
'10/11/19 16:47:28',41.16,-76,-103
'10/11/19 16:47:28',41.16,-75,-104
'10/11/19 17:02:28',41.18,-75,-103
'10/11/19 17:02:29',41.18,-75,-103
'10/11/19 17:17:28',41.16,-75,-104
'10/11/19 17:17:29',41.16,-75,-103
'10/11/19 17:32:28',41.16,-74,-102
'10/11/19 17:32:29',41.16,-75,-104
'10/11/19 17:47:28',41.24,-75,-102
'10/11/19 17:47:29',41.24,-75,-106
'10/11/19 18:02:28',41.2,-75,-104
'10/11/19 18:02:29',41.2,-74,-102
'10/11/19 18:17:28',41.24,-74,-104
'10/11/19 18:17:28',41.24,-75,-103
'10/11/19 18:32:28',41.18,-75,-103
'10/11/19 18:32:29',41.18,-74,-104
'10/11/19 18:47:28',41.2,-74,-102
'10/11/19 18:47:28',41.2,-75,-102
'10/11/19 19:02:28',41.18,-74,-105
'10/11/19 19:02:29',41.18,-75,-104
'10/11/19 19:17:28',41.24,-75,-103
'10/11/19 19:17:29',41.24,-74,-104
'10/11/19 19:32:28',41.26,-75,-104
'10/11/19 19:32:29',41.26,-75,-103
'10/11/19 19:47:28',41.2,-74,-103
'10/11/19 19:47:29',41.2,-74,-104
'10/11/19 20:02:28',41.26,-74,-104
'10/11/19 20:02:29',41.26,-74,-104
'10/11/19 20:17:28',41.26,-75,-103
'10/11/19 20:17:29',41.26,-76,-104
'10/11/19 20:32:28',41.22,-75,-102
'10/11/19 20:32:29',41.22,-74,-104
'10/11/19 20:47:28',41.26,-76,-104
'10/11/19 20:47:29',41.26,-75,-104
'10/11/19 21:02:28',41.24,-74,-103
'10/11/19 21:02:29',41.24,-75,-102
'10/11/19 21:17:28',41.28,-75,-104
'10/11/19 21:17:29',41.28,-74,-104
'10/11/19 21:32:28',41.22,-74,-105
'10/11/19 21:32:29',41.22,-75,-104
'10/11/19 21:47:28',41.18,-74,-103
'10/11/19 21:47:29',41.18,-74,-104
'10/11/19 22:02:28',41.24,-74,-103
'10/11/19 22:02:29',41.24,-74,-103
'10/11/19 22:17:28',41.28,-75,-104
'10/11/19 22:17:29',41.28,-74,-104
'10/11/19 22:32:28',41.26,-75,-104
'10/11/19 22:32:29',41.26,-75,-103
'10/11/19 22:47:28',41.2,-74,-104
'10/11/19 22:47:29',41.2,-75,-103
'10/11/19 23:02:28',41.24,-74,-105
'10/11/19 23:02:29',41.24,-76,-103
'10/11/19 23:17:28',41.26,-74,-104
'10/11/19 23:17:29',41.26,-75,-104
'10/11/19 23:32:28',41.2,-74,-103
'10/11/19 23:32:29',41.2,-74,-104
'10/11/19 23:47:28',41.31,-74,-104
'10/11/19 23:47:29',41.31,-74,-103
'11/11/19 00:02:28',41.26,-73,-103
'11/11/19 00:02:29',41.26,-75,-104
'11/11/19 00:17:28',41.24,-74,-104
'11/11/19 00:17:29',41.24,-75,-103
'11/11/19 00:32:28',41.29,-74,-104
'11/11/19 00:32:29',41.29,-75,-103
'11/11/19 00:47:28',41.24,-74,-103
'11/11/19 00:47:29',41.24,-75,-103
'11/11/19 01:02:28',41.33,-74,-104
'11/11/19 01:02:29',41.33,-75,-103
'11/11/19 01:17:28',41.28,-75,-103
'11/11/19 01:17:29',41.28,-74,-102
'11/11/19 01:32:28',41.26,-74,-103
'11/11/19 01:32:29',41.26,-74,-102
'11/11/19 01:47:28',41.31,-74,-103
'11/11/19 01:47:29',41.31,-74,-102
'11/11/19 02:02:28',41.28,-74,-103
'11/11/19 02:02:29',41.28,-76,-102
'11/11/19 02:17:28',41.31,-74,-102
'11/11/19 02:17:29',41.31,-75,-102
'11/11/19 02:32:28',41.29,-74,-103
'11/11/19 02:32:29',41.29,-75,-102
'11/11/19 02:47:28',41.31,-74,-103
'11/11/19 02:47:29',41.31,-74,-102
'11/11/19 03:02:28',41.24,-73,-103
'11/11/19 03:02:29',41.24,-74,-100
'11/11/19 03:17:28',41.22,-74,-104
'11/11/19 03:17:29',41.22,-74,-101
'11/11/19 03:32:28',41.24,-75,-103
'11/11/19 03:32:29',41.24,-74,-102
'11/11/19 03:47:28',41.26,-74,-101
'11/11/19 03:47:29',41.26,-75,-101
'11/11/19 04:02:28',41.22,-74,-102
'11/11/19 04:02:29',41.22,-74,-102
'11/11/19 04:17:31',41.18,-74,-102
'11/11/19 04:17:31',41.18,-74,-102
'11/11/19 04:32:28',41.22,-74,-102
'11/11/19 04:32:29',41.22,-75,-100
'11/11/19 04:47:28',41.2,-74,-101
'11/11/19 04:47:29',41.2,-75,-102
'11/11/19 05:02:28',41.24,-74,-103
'11/11/19 05:02:29',41.24,-74,-100
'11/11/19 05:17:28',41.2,-74,-102
'11/11/19 05:17:29',41.2,-75,-102
'11/11/19 05:32:28',41.18,-74,-103
'11/11/19 05:32:29',41.18,-74,-102
'11/11/19 05:47:28',41.16,-74,-101
'11/11/19 05:47:29',41.16,-74,-102
'11/11/19 06:02:28',41.16,-74,-101
'11/11/19 06:02:29',41.16,-75,-101
'11/11/19 06:17:28',41.18,-73,-103
'11/11/19 06:17:29',41.18,-74,-103
'11/11/19 06:32:28',41.13,-74,-104
'11/11/19 06:32:29',41.13,-74,-102
'11/11/19 06:47:28',41.15,-74,-104
'11/11/19 06:47:29',41.15,-74,-102
'11/11/19 07:02:28',41.18,-74,-103
'11/11/19 07:02:29',41.18,-74,-102
'11/11/19 07:17:28',41.11,-74,-102
'11/11/19 07:17:29',41.11,-74,-107
'11/11/19 07:32:28',41.13,-74,
'11/11/19 07:32:29',41.13,-74,
'11/11/19 07:47:28',41.13,-74,
'11/11/19 07:47:29',41.13,-74,
'11/11/19 08:02:28',41.16,-74,
'11/11/19 08:02:29',41.16,-74,
'11/11/19 08:17:28',41.15,-73,
'11/11/19 08:17:29',41.15,-73,
'11/11/19 08:32:28',41.09,-73,
'11/11/19 08:32:30',41.09,-73,
'11/11/19 08:47:28',41.13,-73,
'11/11/19 08:47:29',41.13,-73,
'11/11/19 09:02:29',41.11,-73,
'11/11/19 09:02:30',41.11,-73,
'11/11/19 09:17:29',41.15,-73,
'11/11/19 09:17:29',41.15,-74,
'11/11/19 09:32:29',41.2,-73,
'11/11/19 09:32:30',41.2,-74,
'11/11/19 09:47:29',41.15,-73,
'11/11/19 09:47:29',41.15,-73,
'11/11/19 10:02:29',41.18,-73,
'11/11/19 10:02:29',41.18,-74,
'11/11/19 10:17:29',41.18,-73,
'11/11/19 10:17:29',41.18,-74,
'11/11/19 10:32:29',41.18,-74,
'11/11/19 10:32:30',41.18,-74,
'11/11/19 10:47:29',41.2,-74,
'11/11/19 10:47:29',41.2,-75,
'11/11/19 11:02:29',41.18,-73,
'11/11/19 11:02:30',41.18,-74,
'11/11/19 11:17:29',41.2,-74,
'11/11/19 11:17:29',41.2,-74,
'11/11/19 11:32:29',41.18,-74,
'11/11/19 11:32:29',41.18,-74,
'11/11/19 11:47:28',41.26,-74,
'11/11/19 11:47:29',41.26,-81,
'11/11/19 12:02:28',46.71,-80,
'11/11/19 12:02:30',46.71,-79,
'11/11/19 12:17:29',45.74,-80,
'11/11/19 12:17:29',45.74,-83,
'11/11/19 12:32:29',45.41,-81,
'11/11/19 12:32:29',45.41,-80,
'11/11/19 12:47:28',45.24,-82,
'11/11/19 12:47:29',45.24,-83,
'11/11/19 13:02:29',45.08,-80,
'11/11/19 13:02:29',45.08,-81,
'11/11/19 13:17:29',44.89,-82,
'11/11/19 13:17:29',44.89,-82,
'11/11/19 13:32:28',44.8,-80,
'11/11/19 13:32:29',44.8,-83,
'11/11/19 13:47:28',44.46,-83,
'11/11/19 13:47:29',44.46,-84,
'11/11/19 14:02:29',44.27,-85,
'11/11/19 14:02:29',44.27,-82,
